date,site,depth,salinity,temp,pH,do_mgl,do_sat
25-May,Polly's Point 2,0,0.67,13.01,,9.04,0.888479781
25-May,Polly's Point 2,1,0.67,12.97,,9.48,0.930923061
25-May,Polly's Point 2,2,0.75,12.94,,9.82,0.964119976
25-May,Polly's Point 2,3,4.47,12.93,,9.62,0.964379273
25-May,Polly's Point 2,4,23.04,11,,8.69,0.934196413
25-May,Polly's Point 2,5,29.39,10.01,,8.41,0.921440182
25-May,Polly's Point 2,6,29.43,9.94,,7.93,0.867682845
25-May,Polly's Point 2,7,29.76,9.86,,7.74,0.847199952
25-May,Polly's Point 2,8,29.96,9.74,,7.53,0.823034029
25-May,Polly's Point 2,9,30.55,9.67,,7.06,0.773470374
25-May,Polly's Point 2,10,30.66,9.66,,6.73,0.737691587
25-May,Polly's Point 2,12,30.93,9.62,,5.56,0.609988665
25-May,Polly's Point 2,15,31.3,9.52,,4.87,0.534382676
25-May,Polly's Point 2,20,31.73,9.51,,3.63,0.399386312
25-May,Polly's Point 2,25,31.83,9.5,,3.14,0.345628637
12-Jan,5km Center,0,2.22,4.47,,12.83,103.80%
12-Jan,5km Center,1,4.13,4.79,,12.68,104.60%
12-Jan,5km Center,2,6.61,5.56,,12.2,104.20%
12-Jan,5km Center,3,11.15,6.21,,11.42,101.80%
12-Jan,5km Center,4,16.07,7.07,,10.49,98.40%
12-Jan,5km Center,5,18.81,7.65,,9.07,87.80%
12-Jan,5km Center,6,27.54,9.14,,8.11,86.00%
12-Jan,5km Center,7,28.15,9.11,,7.68,81.70%
12-Jan,5km Center,8,28.49,9.3,,7.66,82.10%
12-Jan,5km Center,9,28.59,9.34,,7.53,80.80%
12-Jan,5km Center,10,29.89,10.27,,6.66,73.70%
12-Jan,5km Center,12,30.16,10.46,,6.21,69.10%
12-Jan,5km Center,15,30.54,10.74,,5.42,60.80%
12-Jan,Polly's Point 2,0,1.36,4.25,,13.24,106.00%
12-Jan,Polly's Point 2,1,1.7,4.32,,13.19,106.00%
12-Jan,Polly's Point 2,2,6.73,5.33,,12.34,104.80%
12-Jan,Polly's Point 2,3,10.03,6.02,,11.35,100.00%
12-Jan,Polly's Point 2,4,12.67,6.42,,10.73,97.00%
12-Jan,Polly's Point 2,5,23.94,8.43,,8.45,86.10%
12-Jan,Polly's Point 2,6,26.98,9.21,,6.4,67.70%
12-Jan,Polly's Point 2,7,27.89,9.28,,6.92,73.80%
12-Jan,Polly's Point 2,8,28.79,9.53,,6.96,75.10%
12-Jan,Polly's Point 2,9,29.14,9.7,,7.01,76.10%
12-Jan,Polly's Point 2,10,29.9,10.43,,5.76,63.90%
12-Jan,Polly's Point 2,12,30.44,10.44,,5.56,62.00%
12-Jan,River/Outfall,River:,0.02,3.87,,12.49,98.30%
12-Jan,River/Outfall,0,2.01,4.54,,12.3,99.60%
12-Jan,River/Outfall,1,4.34,4.84,,12.14,100.40%
12-Jan,River/Outfall,2,6.54,5.29,,12,101.70%
12-Jan,River/Outfall,3,9.06,5.88,,10.85,94.70%
12-Jan,River/Outfall,4,14.03,6.73,,9.25,85.00%
12-Jan,River/Outfall,5,22.18,8.51,,9.66,97.50%
12-Jan,River/Outfall,6,27.54,9.29,,7.94,84.50%
12-Jan,River/Outfall,7,28.13,9.51,,7.47,80.20%
12-Jan,River/Outfall,8,28.62,9.67,,7.12,77.00%
12-Jan,River/Outfall,9,28.98,10.02,,6.81,74.40%
12-Jan,Hohm Island 2,0,2.75,4.72,,12.52,102.30%
12-Jan,Hohm Island 2,1,2.74,4.87,,12.66,103.90%
12-Jan,Hohm Island 2,2,8.42,5.7,,11.98,103.70%
12-Jan,Hohm Island 2,3,11.92,6.42,,11.32,101.90%
12-Jan,Hohm Island 2,4,14.37,7.07,,10.45,97.00%
12-Jan,Hohm Island 2,5,21.72,8.48,,8.86,89.10%
12-Jan,Hohm Island 2,6,25.99,8.76,,7.86,81.80%
12-Jan,Hohm Island 2,7,27.76,9.45,,7.42,79.40%
12-Jan,Hohm Island 2,8,28.68,9.76,,6.95,75.40%
12-Jan,Hohm Island 2,9,28.84,9.87,,6.73,73.20%
12-Jan,Hohm Island 2,10,29.18,9.98,,6.52,71.30%
12-Jan,Hohm Island 2,12,29.84,10.43,,6.26,69.50%
19-Jan,5km Center,0,2.86,5.4,,12.04,100.20%
19-Jan,5km Center,1,3.51,5.59,,12.1,101.60%
19-Jan,5km Center,2,14.27,7.06,,11.28,104.70%
19-Jan,5km Center,3,19.2,7.65,,10.23,99.30%
19-Jan,5km Center,4,26.06,8.42,,9.13,94.30%
19-Jan,5km Center,5,27.76,8.7,,8.67,91.10%
19-Jan,5km Center,6,28.03,8.75,,8.52,89.80%
19-Jan,5km Center,7,28.11,8.78,,8.4,88.70%
19-Jan,5km Center,8,28.28,8.93,,8.31,88.10%
19-Jan,5km Center,9,28.49,9.2,,8.12,86.80%
19-Jan,5km Center,10,28.72,9.21,,7.85,84.10%
19-Jan,5km Center,12,29.64,9.18,,7.65,82.40%
19-Jan,5km Center,15,29.16,9.39,,7.57,81.60%
19-Jan,5km Center,20,32.37,9.79,,7.31,81.30%
19-Jan,5km Center,25,30.47,10.56,,6.82,76.20%
19-Jan,5km Center,30,30.79,10.73,,5.32,59.80%
19-Jan,5km Center,35,31.97,10.6,,4.29,48.50%
19-Jan,5km Center,40,31.17,10.56,,3.81,42.80%
19-Jan,5km Center,45,31.27,10.47,,3.57,40.00%
19-Jan,5km Center,50,31.37,10.44,,3.43,38.50%
