WatershedCode,Waterbody,Location,LocationCode,Year,Month,Date,Hour,DepthM,MinWaterT,MeanWaterT,MaxWaterT,CountWaterT,File,Originated,Contact,Omit,Comment
0,Alberni Inlet,Hohm Island 1960s,2,1960,5,12-May-60,-1,0,,11.9,,1,Alberni Inlet Hohm Island B.xls ! Surface Temps,IOS - Linguanti,"Margot Stockwell, DFO, PBS Nanaimo",,spot water temperature (surface) from Alberni Inlet at Hohm Island; SourceID: 44
0,Alberni Inlet,Hohm Island 1960s,2,1960,5,19-May-60,-1,0,,12.3,,1,Alberni Inlet Hohm Island B.xls ! Surface Temps,IOS - Linguanti,"Margot Stockwell, DFO, PBS Nanaimo",,spot water temperature (surface) from Alberni Inlet at Hohm Island; SourceID: 44
0,Alberni Inlet,Hohm Island 1960s,2,1960,6,09-Jun-60,-1,0,,18,,1,Alberni Inlet Hohm Island B.xls ! Surface Temps,IOS - Linguanti,"Margot Stockwell, DFO, PBS Nanaimo",,spot water temperature (surface) from Alberni Inlet at Hohm Island; SourceID: 44
0,Alberni Inlet,Hohm Island 1960s,2,1960,6,23-Jun-60,-1,0,,17.3,,1,Alberni Inlet Hohm Island B.xls ! Surface Temps,IOS - Linguanti,"Margot Stockwell, DFO, PBS Nanaimo",,spot water temperature (surface) from Alberni Inlet at Hohm Island; SourceID: 44
0,Alberni Inlet,Hohm Island 1960s,2,1960,7,07-Jul-60,-1,0,,20.7,,1,Alberni Inlet Hohm Island B.xls ! Surface Temps,IOS - Linguanti,"Margot Stockwell, DFO, PBS Nanaimo",,spot water temperature (surface) from Alberni Inlet at Hohm Island; SourceID: 44
0,Alberni Inlet,Hohm Island 1960s,2,1960,7,21-Jul-60,-1,0,,21.9,,1,Alberni Inlet Hohm Island B.xls ! Surface Temps,IOS - Linguanti,"Margot Stockwell, DFO, PBS Nanaimo",,spot water temperature (surface) from Alberni Inlet at Hohm Island; SourceID: 44
0,Alberni Inlet,Hohm Island 1960s,2,1960,7,28-Jul-60,-1,0,,23.2,,1,Alberni Inlet Hohm Island B.xls ! Surface Temps,IOS - Linguanti,"Margot Stockwell, DFO, PBS Nanaimo",,spot water temperature (surface) from Alberni Inlet at Hohm Island; SourceID: 44
0,Alberni Inlet,Hohm Island 1960s,2,1960,8,04-Aug-60,-1,0,,19.4,,1,Alberni Inlet Hohm Island B.xls ! Surface Temps,IOS - Linguanti,"Margot Stockwell, DFO, PBS Nanaimo",,spot water temperature (surface) from Alberni Inlet at Hohm Island; SourceID: 44
0,Alberni Inlet,Hohm Island 1960s,2,1960,8,11-Aug-60,-1,0,,20.4,,1,Alberni Inlet Hohm Island B.xls ! Surface Temps,IOS - Linguanti,"Margot Stockwell, DFO, PBS Nanaimo",,spot water temperature (surface) from Alberni Inlet at Hohm Island; SourceID: 44
0,Alberni Inlet,Hohm Island 1960s,2,1960,8,18-Aug-60,-1,0,,18.4,,1,Alberni Inlet Hohm Island B.xls ! Surface Temps,IOS - Linguanti,"Margot Stockwell, DFO, PBS Nanaimo",,spot water temperature (surface) from Alberni Inlet at Hohm Island; SourceID: 44
