"month","day","system","year","date","julian","adj_adults","adj_jacks","ttl_adj_adults","ttl_adj_jacks","cum_adj_adults","cum_adj_jacks","prop_ttl_adult","prop_ttl_jack","cum_prop_adult","cum_prop_jack","stop.seq","d.m"
3,31,"Sproat Lake",2023,2023-03-31,90,0,0,123895,54707,0,0,0,0,0,0,"<1% date","31-March"
4,1,"Sproat Lake",2023,2023-04-01,91,1,0,123895,54707,1,0,8.07135074054643e-06,0,8.07135074054643e-06,0,"<1% date","1-April"
4,1,"Sproat Lake",2003,2003-04-01,91,0,NA,172530,16471,0,NA,0,NA,0,NA,"<1% date","1-April"
4,1,"Great Central Lake",2002,2002-04-01,91,0,NA,268316.303142842,16539.4775212115,0,NA,0,NA,0,NA,"<1% date","1-April"
4,1,"Sproat Lake",2002,2002-04-01,91,0,NA,203443,16746,0,NA,0,NA,0,NA,"<1% date","1-April"
4,1,"Great Central Lake",2001,2001-04-01,91,0,NA,341971.470746463,66855.391496774,0,NA,0,NA,0,NA,"<1% date","1-April"
4,1,"Sproat Lake",2001,2001-04-01,91,0,NA,188652,182866,0,NA,0,NA,0,NA,"<1% date","1-April"
4,2,"Sproat Lake",2023,2023-04-02,92,0,0,123895,54707,1,0,0,0,8.07135074054643e-06,0,"<1% date","2-April"
4,2,"Sproat Lake",2003,2003-04-02,92,0,NA,172530,16471,0,NA,0,NA,0,NA,"<1% date","2-April"
4,2,"Great Central Lake",2002,2002-04-02,92,0,NA,268316.303142842,16539.4775212115,0,NA,0,NA,0,NA,"<1% date","2-April"
4,2,"Sproat Lake",2002,2002-04-02,92,0,NA,203443,16746,0,NA,0,NA,0,NA,"<1% date","2-April"
4,2,"Great Central Lake",2001,2001-04-02,92,0,NA,341971.470746463,66855.391496774,0,NA,0,NA,0,NA,"<1% date","2-April"
4,2,"Sproat Lake",2001,2001-04-02,92,0,NA,188652,182866,0,NA,0,NA,0,NA,"<1% date","2-April"
4,3,"Sproat Lake",2023,2023-04-03,93,3,0,123895,54707,4,0,2.42140522216393e-05,0,3.22854029621857e-05,0,"<1% date","3-April"
4,3,"Sproat Lake",2003,2003-04-03,93,0,NA,172530,16471,0,NA,0,NA,0,NA,"<1% date","3-April"
4,3,"Great Central Lake",2002,2002-04-03,93,0,NA,268316.303142842,16539.4775212115,0,NA,0,NA,0,NA,"<1% date","3-April"
4,3,"Sproat Lake",2002,2002-04-03,93,0,NA,203443,16746,0,NA,0,NA,0,NA,"<1% date","3-April"
4,3,"Great Central Lake",2001,2001-04-03,93,0,NA,341971.470746463,66855.391496774,0,NA,0,NA,0,NA,"<1% date","3-April"
4,3,"Sproat Lake",2001,2001-04-03,93,0,NA,188652,182866,0,NA,0,NA,0,NA,"<1% date","3-April"
4,4,"Sproat Lake",2023,2023-04-04,94,2,0,123895,54707,6,0,1.61427014810929e-05,0,4.84281044432786e-05,0,"<1% date","4-April"
4,4,"Sproat Lake",2003,2003-04-04,94,0,NA,172530,16471,0,NA,0,NA,0,NA,"<1% date","4-April"
4,4,"Great Central Lake",2002,2002-04-04,94,0,NA,268316.303142842,16539.4775212115,0,NA,0,NA,0,NA,"<1% date","4-April"
4,4,"Sproat Lake",2002,2002-04-04,94,0,NA,203443,16746,0,NA,0,NA,0,NA,"<1% date","4-April"
4,4,"Great Central Lake",2001,2001-04-04,94,0,NA,341971.470746463,66855.391496774,0,NA,0,NA,0,NA,"<1% date","4-April"
4,4,"Sproat Lake",2001,2001-04-04,94,0,NA,188652,182866,0,NA,0,NA,0,NA,"<1% date","4-April"
4,5,"Great Central Lake",2023,2023-04-05,95,0,0,118342,91954,0,0,0,0,0,0,"<1% date","5-April"
4,5,"Sproat Lake",2023,2023-04-05,95,2,0,123895,54707,8,0,1.61427014810929e-05,0,6.45708059243714e-05,0,"<1% date","5-April"
4,5,"Sproat Lake",2003,2003-04-05,95,0,NA,172530,16471,0,NA,0,NA,0,NA,"<1% date","5-April"
4,5,"Great Central Lake",2002,2002-04-05,95,0,NA,268316.303142842,16539.4775212115,0,NA,0,NA,0,NA,"<1% date","5-April"
4,5,"Sproat Lake",2002,2002-04-05,95,0,NA,203443,16746,0,NA,0,NA,0,NA,"<1% date","5-April"
4,5,"Great Central Lake",2001,2001-04-05,95,0,NA,341971.470746463,66855.391496774,0,NA,0,NA,0,NA,"<1% date","5-April"
4,5,"Sproat Lake",2001,2001-04-05,95,0,NA,188652,182866,0,NA,0,NA,0,NA,"<1% date","5-April"
4,5,"Sproat Lake",2022,2022-04-05,95,0,0,368155,47082,0,0,0,0,0,0,"<1% date","5-April"
4,6,"Great Central Lake",2023,2023-04-06,96,0,0,118342,91954,0,0,0,0,0,0,"<1% date","6-April"
4,6,"Sproat Lake",2023,2023-04-06,96,2,0,123895,54707,10,0,1.61427014810929e-05,0,8.07135074054643e-05,0,"<1% date","6-April"
4,6,"Sproat Lake",2003,2003-04-06,96,0,NA,172530,16471,0,NA,0,NA,0,NA,"<1% date","6-April"
4,6,"Great Central Lake",2002,2002-04-06,96,0,NA,268316.303142842,16539.4775212115,0,NA,0,NA,0,NA,"<1% date","6-April"
4,6,"Sproat Lake",2002,2002-04-06,96,0,NA,203443,16746,0,NA,0,NA,0,NA,"<1% date","6-April"
4,6,"Great Central Lake",2001,2001-04-06,96,0,NA,341971.470746463,66855.391496774,0,NA,0,NA,0,NA,"<1% date","6-April"
4,6,"Sproat Lake",2001,2001-04-06,96,0,NA,188652,182866,0,NA,0,NA,0,NA,"<1% date","6-April"
4,6,"Sproat Lake",2022,2022-04-06,96,0,0,368155,47082,0,0,0,0,0,0,"<1% date","6-April"
4,7,"Great Central Lake",2023,2023-04-07,97,0,0,118342,91954,0,0,0,0,0,0,"<1% date","7-April"
4,7,"Sproat Lake",2023,2023-04-07,97,2,0,123895,54707,12,0,1.61427014810929e-05,0,9.68562088865572e-05,0,"<1% date","7-April"
4,7,"Sproat Lake",2003,2003-04-07,97,0,NA,172530,16471,0,NA,0,NA,0,NA,"<1% date","7-April"
4,7,"Great Central Lake",2002,2002-04-07,97,0,NA,268316.303142842,16539.4775212115,0,NA,0,NA,0,NA,"<1% date","7-April"
4,7,"Sproat Lake",2002,2002-04-07,97,0,NA,203443,16746,0,NA,0,NA,0,NA,"<1% date","7-April"
4,7,"Great Central Lake",2001,2001-04-07,97,0,NA,341971.470746463,66855.391496774,0,NA,0,NA,0,NA,"<1% date","7-April"
4,7,"Sproat Lake",2001,2001-04-07,97,0,NA,188652,182866,0,NA,0,NA,0,NA,"<1% date","7-April"
4,7,"Sproat Lake",2022,2022-04-07,97,0,0,368155,47082,0,0,0,0,0,0,"<1% date","7-April"
4,8,"Great Central Lake",2023,2023-04-08,98,0,0,118342,91954,0,0,0,0,0,0,"<1% date","8-April"
4,8,"Sproat Lake",2023,2023-04-08,98,1,0,123895,54707,13,0,8.07135074054643e-06,0,0.000104927559627104,0,"<1% date","8-April"
4,8,"Sproat Lake",2003,2003-04-08,98,0,NA,172530,16471,0,NA,0,NA,0,NA,"<1% date","8-April"
4,8,"Great Central Lake",2002,2002-04-08,98,0,NA,268316.303142842,16539.4775212115,0,NA,0,NA,0,NA,"<1% date","8-April"
4,8,"Sproat Lake",2002,2002-04-08,98,0,NA,203443,16746,0,NA,0,NA,0,NA,"<1% date","8-April"
4,8,"Great Central Lake",2001,2001-04-08,98,0,NA,341971.470746463,66855.391496774,0,NA,0,NA,0,NA,"<1% date","8-April"
4,8,"Sproat Lake",2001,2001-04-08,98,0,NA,188652,182866,0,NA,0,NA,0,NA,"<1% date","8-April"
4,8,"Sproat Lake",2022,2022-04-08,98,1,0,368155,47082,1,0,2.71624723282313e-06,0,2.71624723282313e-06,0,"<1% date","8-April"
4,9,"Great Central Lake",2023,2023-04-09,99,0,0,118342,91954,0,0,0,0,0,0,"<1% date","9-April"
4,9,"Sproat Lake",2023,2023-04-09,99,1,0,123895,54707,14,0,8.07135074054643e-06,0,0.00011299891036765,0,"<1% date","9-April"
4,9,"Sproat Lake",2003,2003-04-09,99,0,NA,172530,16471,0,NA,0,NA,0,NA,"<1% date","9-April"
4,9,"Great Central Lake",2002,2002-04-09,99,0,NA,268316.303142842,16539.4775212115,0,NA,0,NA,0,NA,"<1% date","9-April"
4,9,"Sproat Lake",2002,2002-04-09,99,0,NA,203443,16746,0,NA,0,NA,0,NA,"<1% date","9-April"
4,9,"Great Central Lake",2001,2001-04-09,99,0,NA,341971.470746463,66855.391496774,0,NA,0,NA,0,NA,"<1% date","9-April"
4,9,"Sproat Lake",2001,2001-04-09,99,0,NA,188652,182866,0,NA,0,NA,0,NA,"<1% date","9-April"
4,9,"Sproat Lake",2022,2022-04-09,99,0,0,368155,47082,1,0,0,0,2.71624723282313e-06,0,"<1% date","9-April"
4,10,"Great Central Lake",2023,2023-04-10,100,0,0,118342,91954,0,0,0,0,0,0,"<1% date","10-April"
4,10,"Sproat Lake",2023,2023-04-10,100,1,0,123895,54707,15,0,8.07135074054643e-06,0,0.000121070261108196,0,"<1% date","10-April"
4,10,"Sproat Lake",2021,2021-04-10,100,0,0,92856,89428,0,0,0,0,0,0,"<1% date","10-April"
4,10,"Sproat Lake",2019,2019-04-10,100,0,0,91248,38108,0,0,0,0,0,0,"<1% date","10-April"
4,10,"Sproat Lake",2018,2018-04-10,100,0,0,146311.7,11500.62,0,0,0,0,0,0,"<1% date","10-April"
4,10,"Sproat Lake",2017,2017-04-10,100,0,0,142683.87,153787.81,0,0,0,0,0,0,"<1% date","10-April"
4,10,"Sproat Lake",2003,2003-04-10,100,0,NA,172530,16471,0,NA,0,NA,0,NA,"<1% date","10-April"
4,10,"Great Central Lake",2002,2002-04-10,100,0,NA,268316.303142842,16539.4775212115,0,NA,0,NA,0,NA,"<1% date","10-April"
4,10,"Sproat Lake",2002,2002-04-10,100,0,NA,203443,16746,0,NA,0,NA,0,NA,"<1% date","10-April"
4,10,"Great Central Lake",2001,2001-04-10,100,0,NA,341971.470746463,66855.391496774,0,NA,0,NA,0,NA,"<1% date","10-April"
4,10,"Sproat Lake",2001,2001-04-10,100,0,NA,188652,182866,0,NA,0,NA,0,NA,"<1% date","10-April"
4,10,"Sproat Lake",2022,2022-04-10,100,0,0,368155,47082,1,0,0,0,2.71624723282313e-06,0,"<1% date","10-April"
4,11,"Great Central Lake",2023,2023-04-11,101,0,0,118342,91954,0,0,0,0,0,0,"<1% date","11-April"
4,11,"Sproat Lake",2023,2023-04-11,101,0,0,123895,54707,15,0,0,0,0.000121070261108196,0,"<1% date","11-April"
4,11,"Sproat Lake",2021,2021-04-11,101,0,0,92856,89428,0,0,0,0,0,0,"<1% date","11-April"
