"wSom","date","year","type"
4.62,2000-01-01,2000,"Imputed"
4.62,2000-01-08,2000,"Imputed"
4.77,2000-01-15,2000,"Imputed"
4.75,2000-01-22,2000,"Imputed"
4.855,2000-01-29,2000,"Imputed"
4.96,2000-02-05,2000,"Imputed"
5.05,2000-02-12,2000,"Imputed"
5.14,2000-02-19,2000,"Imputed"
5.23,2000-02-26,2000,"Imputed"
5.73,2000-03-04,2000,"Imputed"
6.23,2000-03-11,2000,"Imputed"
6.73,2000-03-18,2000,"Imputed"
7.555,2000-03-25,2000,"Imputed"
8.38,2000-04-01,2000,"Imputed"
10.57,2000-04-08,2000,"Imputed"
10.3,2000-04-15,2000,"Imputed"
8.87,2000-04-22,2000,"Imputed"
10.2866666666667,2000-04-29,2000,"Imputed"
11.7033333333333,2000-05-06,2000,"Imputed"
13.12,2000-05-13,2000,"Imputed"
13.8,2000-05-20,2000,"Imputed"
14.39,2000-05-27,2000,"Imputed"
15.0716666666667,2000-06-03,2000,"Imputed"
15.7533333333333,2000-06-10,2000,"Imputed"
16.435,2000-06-17,2000,"Imputed"
17.1166666666667,2000-06-24,2000,"Imputed"
17.7983333333333,2000-07-01,2000,"Imputed"
18.48,2000-07-08,2000,"Imputed"
19.56,2000-07-15,2000,"Imputed"
20.02,2000-07-22,2000,"Imputed"
20.48,2000-07-29,2000,"Imputed"
20.92,2000-08-05,2000,"Imputed"
18.93,2000-08-12,2000,"Imputed"
19.75,2000-08-19,2000,"Imputed"
18.6,2000-08-26,2000,"Imputed"
17,2000-09-02,2000,"Imputed"
17.4,2000-09-09,2000,"Imputed"
18.26,2000-09-16,2000,"Imputed"
16.27,2000-09-23,2000,"Imputed"
14.9,2000-09-30,2000,"Imputed"
13.9614285714286,2000-10-07,2000,"Imputed"
13.0228571428571,2000-10-14,2000,"Imputed"
12.0842857142857,2000-10-21,2000,"Imputed"
11.1457142857143,2000-10-28,2000,"Imputed"
10.2071428571429,2000-11-04,2000,"Imputed"
9.26857142857143,2000-11-11,2000,"Imputed"
8.33,2000-11-18,2000,"Imputed"
7.63,2000-11-25,2000,"Imputed"
7.39,2000-12-02,2000,"Imputed"
7.09,2000-12-09,2000,"Imputed"
6.79,2000-12-16,2000,"Imputed"
6.49,2000-12-23,2000,"Imputed"
6.19,2000-12-30,2000,"Imputed"
5.89,2001-01-01,2001,"Imputed"
5.59,2001-01-08,2001,"Imputed"
5.36,2001-01-15,2001,"Imputed"
5.11,2001-01-22,2001,"Imputed"
4.86,2001-01-29,2001,"Observed"
4.68,2001-02-05,2001,"Imputed"
5.325,2001-02-12,2001,"Imputed"
5.97,2001-02-19,2001,"Imputed"
4.85,2001-02-26,2001,"Observed"
7.29,2001-03-05,2001,"Imputed"
7.59,2001-03-12,2001,"Imputed"
7.89,2001-03-19,2001,"Imputed"
7.52,2001-03-26,2001,"Imputed"
8.38,2001-04-02,2001,"Imputed"
8.81,2001-04-09,2001,"Imputed"
9.99,2001-04-16,2001,"Imputed"
10.08,2001-04-23,2001,"Imputed"
10.41,2001-04-30,2001,"Imputed"
10.74,2001-05-07,2001,"Observed"
12.47,2001-05-14,2001,"Imputed"
14.76,2001-05-21,2001,"Imputed"
14.625,2001-05-28,2001,"Imputed"
14.49,2001-06-04,2001,"Observed"
14.86,2001-06-11,2001,"Imputed"
17.99,2001-06-18,2001,"Imputed"
16.92,2001-06-25,2001,"Observed"
19.02,2001-07-02,2001,"Imputed"
19.51,2001-07-09,2001,"Observed"
18.21,2001-07-16,2001,"Imputed"
18.91,2001-07-23,2001,"Imputed"
17.05,2001-07-30,2001,"Imputed"
18.35,2001-08-06,2001,"Imputed"
19.29,2001-08-13,2001,"Imputed"
18.9314285714286,2001-08-20,2001,"Imputed"
18.5728571428571,2001-08-27,2001,"Imputed"
18.2142857142857,2001-09-03,2001,"Imputed"
17.8557142857143,2001-09-10,2001,"Imputed"
17.4971428571429,2001-09-17,2001,"Imputed"
17.1385714285714,2001-09-24,2001,"Imputed"
16.78,2001-10-01,2001,"Observed"
15.4433333333333,2001-10-08,2001,"Imputed"
14.1066666666667,2001-10-15,2001,"Imputed"
12.77,2001-10-22,2001,"Observed"
11.69,2001-10-29,2001,"Imputed"
11.13,2001-11-05,2001,"Imputed"
11.15,2001-11-12,2001,"Imputed"
9.955,2001-11-19,2001,"Imputed"
8.76,2001-11-26,2001,"Observed"
6.67,2001-12-03,2001,"Imputed"
6.37,2001-12-10,2001,"Imputed"
6.0925,2001-12-17,2001,"Imputed"
5.815,2001-12-24,2001,"Imputed"
5.5375,2001-12-31,2001,"Imputed"
5.26,2002-01-01,2002,"Imputed"
5.28,2002-01-08,2002,"Imputed"
5.3,2002-01-15,2002,"Imputed"
5.13,2002-01-22,2002,"Imputed"
4.95,2002-01-29,2002,"Imputed"
4.58,2002-02-05,2002,"Imputed"
4.77,2002-02-12,2002,"Imputed"
4.89,2002-02-19,2002,"Imputed"
5.23,2002-02-26,2002,"Imputed"
4.73,2002-03-05,2002,"Imputed"
5.35,2002-03-12,2002,"Imputed"
4.95,2002-03-19,2002,"Imputed"
6.385,2002-03-26,2002,"Imputed"
7.82,2002-04-02,2002,"Imputed"
8.34666666666667,2002-04-09,2002,"Imputed"
8.87333333333333,2002-04-16,2002,"Imputed"
9.4,2002-04-23,2002,"Imputed"
10.51,2002-04-30,2002,"Imputed"
11.62,2002-05-07,2002,"Imputed"
12.92,2002-05-14,2002,"Imputed"
13.6066666666667,2002-05-21,2002,"Imputed"
14.2933333333333,2002-05-28,2002,"Imputed"
14.98,2002-06-04,2002,"Imputed"
10.68,2002-06-11,2002,"Observed"
15.15,2002-06-18,2002,"Imputed"
19.62,2002-06-25,2002,"Imputed"
17.7,2002-07-02,2002,"Imputed"
20.76,2002-07-09,2002,"Imputed"
21.13,2002-07-16,2002,"Imputed"
21.5,2002-07-23,2002,"Imputed"
18.8,2002-07-30,2002,"Imputed"
19.19,2002-08-06,2002,"Imputed"
20.94,2002-08-13,2002,"Imputed"
20.18,2002-08-20,2002,"Imputed"
21.45,2002-08-27,2002,"Imputed"
17.96,2002-09-03,2002,"Imputed"
17.8333333333333,2002-09-10,2002,"Imputed"
17.7066666666667,2002-09-17,2002,"Imputed"
17.58,2002-09-24,2002,"Imputed"
16.86,2002-10-01,2002,"Imputed"
16.14,2002-10-08,2002,"Imputed"
13.76,2002-10-15,2002,"Imputed"
13.26,2002-10-22,2002,"Imputed"
12.5325,2002-10-29,2002,"Imputed"
11.805,2002-11-05,2002,"Imputed"
11.0775,2002-11-12,2002,"Imputed"
10.35,2002-11-19,2002,"Imputed"
9.52,2002-11-26,2002,"Imputed"
8.99,2002-12-03,2002,"Imputed"
7.94,2002-12-10,2002,"Imputed"
7.05,2002-12-17,2002,"Observed"
6.7775,2002-12-24,2002,"Imputed"
6.505,2002-12-31,2002,"Imputed"
6.2325,2003-01-01,2003,"Imputed"
5.96,2003-01-08,2003,"Imputed"
6.02,2003-01-15,2003,"Imputed"
5.995,2003-01-22,2003,"Imputed"
5.97,2003-01-29,2003,"Observed"
5.93,2003-02-05,2003,"Observed"
5.96,2003-02-12,2003,"Imputed"
5.5,2003-02-19,2003,"Imputed"
5.772,2003-02-26,2003,"Imputed"
6.044,2003-03-05,2003,"Imputed"
6.316,2003-03-12,2003,"Imputed"
6.588,2003-03-19,2003,"Imputed"
6.86,2003-03-26,2003,"Imputed"
6.9,2003-04-02,2003,"Imputed"
6.92,2003-04-09,2003,"Imputed"
7.94,2003-04-16,2003,"Imputed"
8.78,2003-04-23,2003,"Imputed"
12.17,2003-04-30,2003,"Imputed"
12.88,2003-05-07,2003,"Imputed"
13.135,2003-05-14,2003,"Imputed"
13.39,2003-05-21,2003,"Observed"
15.14,2003-05-28,2003,"Imputed"
15.76,2003-06-04,2003,"Observed"
17.26,2003-06-11,2003,"Imputed"
18.76,2003-06-18,2003,"Observed"
18.38,2003-06-25,2003,"Observed"
18.74,2003-07-02,2003,"Imputed"
19.1,2003-07-09,2003,"Observed"
19.755,2003-07-16,2003,"Imputed"
20.41,2003-07-23,2003,"Observed"
20.825,2003-07-30,2003,"Imputed"
21.24,2003-08-06,2003,"Observed"
20.83,2003-08-13,2003,"Observed"
20.29,2003-08-20,2003,"Observed"
20.075,2003-08-27,2003,"Imputed"
19.86,2003-09-03,2003,"Observed"
18.225,2003-09-10,2003,"Imputed"
16.59,2003-09-17,2003,"Observed"
17.045,2003-09-24,2003,"Imputed"
17.5,2003-10-01,2003,"Observed"
16.05,2003-10-08,2003,"Imputed"
14.56,2003-10-15,2003,"Imputed"
13.07,2003-10-22,2003,"Imputed"
11.62,2003-10-29,2003,"Imputed"
8.43,2003-11-05,2003,"Imputed"
8.75,2003-11-12,2003,"Imputed"
7.88,2003-11-19,2003,"Observed"
7.245,2003-11-26,2003,"Imputed"
6.61,2003-12-03,2003,"Imputed"
6.19083333333333,2003-12-10,2003,"Imputed"
5.77166666666667,2003-12-17,2003,"Imputed"
5.3525,2003-12-24,2003,"Imputed"
4.93333333333333,2003-12-31,2003,"Imputed"
4.51416666666667,2004-01-01,2004,"Imputed"
4.095,2004-01-08,2004,"Imputed"
4.6,2004-01-15,2004,"Imputed"
5.105,2004-01-22,2004,"Imputed"
4.705,2004-01-29,2004,"Imputed"
4.305,2004-02-05,2004,"Imputed"
4.7575,2004-02-12,2004,"Imputed"
