"date","sproat","year"
2014-01-01,6.96641666666667,2014
2014-01-02,6.93533333333333,2014
2014-01-03,6.85925,2014
2014-01-04,6.77066666666667,2014
2014-01-05,6.7035,2014
2014-01-06,6.643375,2014
2014-01-07,6.61975,2014
2014-01-08,6.5935,2014
2014-01-09,6.52841666666667,2014
2014-01-10,6.51033333333333,2014
2014-01-11,6.43275,2014
2014-01-12,6.45866666666667,2014
2014-01-13,6.49225,2014
2014-01-14,6.48708333333333,2014
2014-01-15,6.50516666666667,2014
2014-01-16,6.50258333333333,2014
2014-01-17,6.46641666666667,2014
2014-01-18,6.42220833333333,2014
2014-01-19,6.41175,2014
2014-01-20,6.39075,2014
2014-01-21,6.372375,2014
2014-01-22,6.351375,2014
2014-01-23,6.33825,2014
2014-01-24,6.32,2014
2014-01-25,6.291375,2014
2014-01-26,6.28366666666667,2014
2014-01-27,6.25516666666667,2014
2014-01-28,6.27841666666667,2014
2014-01-29,6.29933333333333,2014
2014-01-30,6.372375,2014
2014-01-31,6.27329166666667,2014
2014-02-01,6.23966666666667,2014
2014-02-02,6.200875,2014
2014-02-03,6.17470833333333,2014
2014-02-04,6.0595,2014
2014-02-05,5.90383333333333,2014
2014-02-06,5.74483333333333,2014
2014-02-07,5.59366666666667,2014
2014-02-08,5.49741666666667,2014
2014-02-09,5.419125,2014
2014-02-10,5.40633333333333,2014
2014-02-11,5.179875,2014
2014-02-12,5.354125,2014
2014-02-13,5.39304166666667,2014
2014-02-14,5.50795833333333,2014
2014-02-15,5.252625,2014
2014-02-16,5.33070833333333,2014
2014-02-17,5.289,2014
2014-02-18,5.24483333333333,2014
2014-02-19,5.23979166666667,2014
2014-02-20,5.2555,2014
2014-02-21,5.351375,2014
2014-02-22,5.30170833333333,2014
2014-02-23,5.24225,2014
2014-02-24,5.16429166666667,2014
2014-02-25,5.19008333333333,2014
2014-02-26,5.25033333333333,2014
2014-02-27,5.35929166666667,2014
2014-02-28,5.42179166666667,2014
2014-03-01,5.55975,2014
2014-03-02,5.24225,2014
2014-03-03,5.33591666666667,2014
2014-03-04,5.469,2014
2014-03-05,5.42983333333333,2014
2014-03-06,5.52079166666667,2014
2014-03-07,5.645625,2014
2014-03-08,5.73954166666667,2014
2014-03-09,5.41658333333333,2014
2014-03-10,5.83075,2014
2014-03-11,5.908875,2014
2014-03-12,5.38025,2014
2014-03-13,5.88275,2014
2014-03-14,6.03895833333333,2014
2014-03-15,6.28120833333333,2014
2014-03-16,5.854,2014
2014-03-17,5.93745833333333,2014
2014-03-18,5.723875,2014
2014-03-19,6.78658333333333,2014
2014-03-20,6.70066666666667,2014
2014-03-21,6.40875,2014
2014-03-22,6.72133333333333,2014
2014-03-23,6.80991666666667,2014
2014-03-24,6.92966666666667,2014
2014-03-25,7.24229166666667,2014
2014-03-26,6.89329166666667,2014
2014-03-27,7.49741666666667,2014
2014-03-28,7.40604166666667,2014
2014-03-29,7.39316666666667,2014
2014-03-30,7.40633333333333,2014
2014-03-31,7.336,2014
2014-04-01,7.00254166666667,2014
2014-04-02,8.00525,2014
2014-04-03,8.138,2014
2014-04-04,8.122375,2014
2014-04-05,8.35404166666667,2014
2014-04-06,8.48433333333333,2014
2014-04-07,8.61191666666667,2014
2014-04-08,8.70570833333333,2014
2014-04-09,9.30470833333333,2014
2014-04-10,9.140625,2014
2014-04-11,9.43233333333333,2014
2014-04-12,9.61716666666667,2014
2014-04-13,9.66658333333333,2014
2014-04-14,9.505125,2014
2014-04-15,10.1926666666667,2014
2014-04-16,9.99216666666667,2014
2014-04-17,9.83066666666667,2014
2014-04-18,9.92191666666667,2014
2014-04-19,10.0155416666667,2014
2014-04-20,10.0260416666667,2014
2014-04-21,10.0884166666667,2014
2014-04-22,10.106875,2014
2014-04-23,10.43225,2014
2014-04-24,10.2187916666667,2014
2014-04-25,10.5208333333333,2014
2014-04-26,10.7994166666667,2014
2014-04-27,11.1587083333333,2014
2014-04-28,11.14325,2014
2014-04-29,11.2837083333333,2014
2014-04-30,11.445375,2014
2014-05-01,12.0833333333333,2014
2014-05-02,12.802,2014
2014-05-03,13.073,2014
2014-05-04,12.09125,2014
2014-05-05,12.2214166666667,2014
2014-05-06,13.7655833333333,2014
2014-05-07,14.1278260869565,2014
2014-05-08,13.9192916666667,2014
2014-05-09,13.6302083333333,2014
2014-05-10,14.434875,2014
2014-05-11,14.5104166666667,2014
2014-05-12,14.0547083333333,2014
2014-05-13,14.6640416666667,2014
2014-05-14,14.94525,2014
2014-05-15,15.166625,2014
2014-05-16,15.6588333333333,2014
2014-05-17,16.3359583333333,2014
2014-05-18,16.6276666666667,2014
2014-05-19,16.3359166666667,2014
2014-05-20,17.0105,2014
2014-05-21,17.2368333333333,2014
2014-05-22,16.9245,2014
2014-05-23,17.0729583333333,2014
2014-05-24,17.299375,2014
2014-05-25,17.0208333333333,2014
2014-05-26,16.8905416666667,2014
2014-05-27,16.8384166666667,2014
2014-05-28,17.010375,2014
2014-05-29,16.8749583333333,2014
2014-05-30,16.8463333333333,2014
2014-05-31,16.9114166666667,2014
2014-06-01,17.551652173913,2014
2014-06-02,17.8125416666667,2014
2014-06-03,18.5129166666667,2014
2014-06-04,19.388125,2014
2014-06-05,18.5155416666667,2014
2014-06-06,18.2110416666667,2014
2014-06-07,18.5025416666667,2014
2014-06-08,19.1171666666667,2014
2014-06-09,19.21875,2014
2014-06-10,18.3047083333333,2014
2014-06-11,19.1508333333333,2014
2014-06-12,19.2655833333333,2014
2014-06-13,19.1848333333333,2014
2014-06-14,19.3150416666667,2014
2014-06-15,18.820652173913,2014
2014-06-16,18.8905833333333,2014
2014-06-17,19.3932916666667,2014
2014-06-18,19.7891666666667,2014
2014-06-19,19.062375,2014
2014-06-20,18.5415416666667,2014
2014-06-21,19.0079166666667,2014
2014-06-22,19.5155833333333,2014
2014-06-23,19.6093333333333,2014
2014-06-24,19.9035416666667,2014
2014-06-25,20.6510833333333,2014
2014-06-26,20.3412083333333,2014
2014-06-27,20.5860416666667,2014
2014-06-28,20.0380869565217,2014
2014-06-29,20.0859166666667,2014
2014-06-30,20.51825,2014
2014-07-01,20.7629583333333,2014
2014-07-02,20.778625,2014
2014-07-03,21.0155416666667,2014
2014-07-04,20.6692916666667,2014
2014-07-05,20.080625,2014
2014-07-06,20.2363913043478,2014
2014-07-07,21.0574583333333,2014
2014-07-08,22.4452916666667,2014
2014-07-09,22.4165416666667,2014
2014-07-10,21.2578333333333,2014
2014-07-11,22.044125,2014
2014-07-12,23.023375,2014
2014-07-13,24.3047083333333,2014
2014-07-14,24.125,2014
2014-07-15,23.5182083333333,2014
2014-07-16,24.0652083333333,2014
2014-07-17,23.6523913043478,2014
2014-07-18,24.05725,2014
2014-07-19,23.9673913043478,2014
2014-07-20,23.5163913043478,2014
2014-07-21,23.0911666666667,2014
2014-07-22,22.90375,2014
2014-07-23,22.544375,2014
2014-07-24,22.0989583333333,2014
2014-07-25,21.9271666666667,2014
2014-07-26,22.2708333333333,2014
2014-07-27,22.927125,2014
2014-07-28,23.4739166666667,2014
2014-07-29,23.8451739130435,2014
2014-07-30,24.0677916666667,2014
2014-07-31,24.2527391304348,2014
2014-08-01,24.9126,2014
2014-08-21,24.34375,2014
2014-08-22,23.3886086956522,2014
2014-08-23,23.4245,2014
2014-08-24,23.3515416666667,2014
2014-08-25,23.388125,2014
2014-08-26,23.4584583333333,2014
2014-08-27,23.5989583333333,2014
2014-08-28,23.7708333333333,2014
2014-08-29,23.1770833333333,2014
2014-08-30,22.7057916666667,2014
2014-08-31,22.3255,2014
2014-09-01,22.2826086956522,2014
2014-09-02,21.9005909090909,2014
2014-09-03,21.869875,2014
2014-09-04,21.7995,2014
2014-09-05,21.7787083333333,2014
2014-09-06,22.2474583333333,2014
2014-09-07,22.1614166666667,2014
2014-09-08,21.9141666666667,2014
2014-09-09,21.510375,2014
2014-09-10,21.6485416666667,2014
2014-09-11,20.8568333333333,2014
2014-09-12,20.4791666666667,2014
2014-09-13,20.7578333333333,2014
2014-09-14,20.7264583333333,2014
2014-09-15,20.8828333333333,2014
2014-09-16,20.8308333333333,2014
2014-09-17,20.8260434782609,2014
2014-09-18,20.684875,2014
2014-09-19,20.6548260869565,2014
2014-09-20,20.6901739130435,2014
2014-09-21,20.645875,2014
2014-09-22,20.731625,2014
2014-09-23,20.325375,2014
2014-09-24,20.1224166666667,2014
2014-09-25,20.0312916666667,2014
2014-09-26,20.0109565217391,2014
2014-09-27,20.0861666666667,2014
2014-09-28,20.011,2014
2014-09-29,19.9374583333333,2014
2014-09-30,19.7656666666667,2014
2014-10-01,19.45575,2014
2014-10-02,19.2395833333333,2014
2014-10-03,19.2417826086957,2014
2014-10-04,19.367125,2014
2014-10-05,19.585875,2014
2014-10-06,19.6875416666667,2014
2014-10-07,19.4897083333333,2014
2014-10-08,19.4270416666667,2014
2014-10-09,19.4714583333333,2014
2014-10-10,19.2419583333333,2014
2014-10-11,19.01325,2014
2014-10-12,18.7914583333333,2014
2014-10-13,18.445125,2014
2014-10-14,18.1432916666667,2014
2014-10-15,17.9247083333333,2014
2014-10-16,17.6849565217391,2014
2014-10-17,17.4348333333333,2014
2014-10-18,17.1955,2014
2014-10-19,17,2014
2014-10-20,16.7422916666667,2014
2014-10-21,16.3254583333333,2014
2014-10-22,15.7707916666667,2014
2014-10-23,15.33325,2014
2014-10-24,15.07525,2014
2014-10-25,14.7970833333333,2014
2014-10-26,14.5233333333333,2014
2014-10-27,14.2994166666667,2014
2014-10-28,13.8593333333333,2014
2014-10-29,13.9585,2014
2014-10-30,13.7499583333333,2014
2014-10-31,13.6930416666667,2014
2014-11-01,13.528625,2014
2014-11-02,13.361875,2014
2014-11-03,13.2004583333333,2014
2014-11-04,13.2837916666667,2014
2014-11-05,13.1432083333333,2014
2014-11-06,13.00775,2014
2014-11-07,13.0652916666667,2014
2014-11-08,12.812375,2014
2014-11-09,12.703375,2014
2014-11-10,12.5130416666667,2014
2014-11-11,12.0000416666667,2014
2014-11-12,11.52075,2014
2014-11-13,11.2344583333333,2014
2014-11-14,11.0388333333333,2014
2014-11-15,10.7732916666667,2014
2014-11-16,10.5180416666667,2014
2014-11-17,10.3200416666667,2014
2014-11-18,10.17225,2014
2014-11-19,10.0752083333333,2014
2014-11-20,10.0675416666667,2014
2014-11-21,10.0414166666667,2014
2014-11-22,9.93525,2014
2014-11-23,9.89075,2014
2014-11-24,6.68718181818182,2014
2014-11-25,9.2144375,2014
2014-11-26,9.67290625,2014
2014-11-27,9.67225,2014
2014-11-28,9.49216666666667,2014
2014-11-29,9.32683333333333,2014
2014-11-30,9.05516666666667,2014
2014-12-01,8.89160377358491,2014
2014-12-02,8.7655,2014
2014-12-03,8.65407692307692,2014
2014-12-04,8.47785714285714,2014
2014-12-05,8.417,2014
2014-12-06,8.382875,2014
2014-12-07,8.396,2014
2014-12-08,8.36130434782609,2014
2014-12-09,8.46883333333333,2014
2014-12-10,8.37818181818182,2014
