"Year","t18","t19","max","mean","anomM","tempM","aPNI","mSnow"
1991,45,45,21.48,18.3193333333333,0.246666666666667,27.4933333333333,0.393,82.5
1992,46,46,21.79,18.2528260869565,1.46666666666667,28.71,1.328,86.3333333333333
1993,52,52,20.9,17.13,0.49,27.7333333333333,0.971,117
1994,54,54,23.02,18.4401851851852,0.183333333333333,27.4266666666667,1.03,199.5
1995,46,46,21.78,17.9608695652174,0.516666666666667,27.7666666666667,0.492,209
1996,49,49,21.83,17.5361224489796,-0.576666666666667,26.65,-0.053,97
1997,46,46,21.65,17.5502173913043,-0.06,27.1666666666667,-0.6,171.5
1998,40,40,22.32,18.70225,1.45333333333333,28.6833333333333,0.259,230
1999,19,19,19.63,15.2305263157895,-1.11666666666667,26.1133333333333,-0.808,417.333333333333
2000,15,15,20.92,17.696,-1.09666666666667,26.13,0.233,265
2001,15,15,19.51,16.6326666666667,-0.433333333333333,26.7566666666667,0.625,150
2002,15,15,21.5,17.7253333333333,0.106666666666667,27.3,-0.217,233.666666666667
2003,14,14,21.24,17.4857142857143,0.323333333333333,27.5166666666667,0.451,144.5
2004,15,15,22.15,18.0626666666667,0.236666666666667,27.4233333333333,0.777,218.333333333333
2005,14,14,21.32,17.5121428571429,0.486666666666667,27.6766666666667,1.561,18
2006,20,20,20.89,17.138,-0.57,26.7133333333333,-0.335,234
2008,20,20,20.46,16.7695,-1.27333333333333,26.01,-0.575,256.5
2009,20,20,25.01,18.695,-0.576666666666667,26.7066666666667,0.188,151
2012,19,19,21.1,16.2736842105263,-0.593333333333333,26.69,-0.132,210
2013,20,20,21.45,17.7345,-0.356666666666667,26.9266666666667,0.638,227
2014,20,20,22.19,18.6245,-0.23,27.0566666666667,0.587,135
2015,20,20,21.9,19.1135,0.566666666666667,27.8466666666667,1.778,5.33333333333333
2016,21,21,21.92,18.0804761904762,1.55333333333333,28.8366666666667,0.667,109
2019,16,16,21.59,18.8075,0.696666666666667,27.98,1.041,128
