"xreg","AIC","deltaAIC","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1"
"air2",574.664018036301,0,0.00903760973488548,0.68761116040284,0.525299122674058,-0.389890468779349,4.72122531141304,0.662643961216645,-0.0877707955753426
"air2Spr1",576.201027976095,1.54,0.00946554934364015,0.687019088433595,0.524556581454449,-0.387514881476437,4.73090429646725,0.661707274986096,-0.0894689090554373
"air3",576.3078820192,1.64,0.0092043597844769,0.687155879662021,0.525820195603278,-0.387450566424882,4.72379102834325,0.663301274002822,-0.085512978514293
"air1",576.444617929494,1.78,0.00838695920066195,0.692538628917987,0.52952630807569,-0.39914243294412,4.81147152151511,0.667976387558945,-0.0748982643713074
"air1spr1",577.352496668019,2.69,0.00900019984875593,0.691125234404897,0.528035200842522,-0.395555772505448,4.81605302884759,0.66609541505978,-0.0790858015521552
"air2Spr2",578.114950967544,3.45,0.0096589331488721,0.686908814488993,0.524629701305953,-0.38571155705767,4.73094358425184,0.661799512772059,-0.0890561736994782
"air1spr2",579.259626168518,4.6,0.00928849717988894,0.691005777319085,0.528437608761079,-0.393081425647056,4.8195466093535,0.666603036652256,-0.0786724375090963
"air3Spr2",579.871160731296,5.21,0.00972063404369757,0.686597365816974,0.525509147844817,-0.384235699570788,4.73786109512063,0.662908899620498,-0.0869800760313036
"harmonics",615.331416912428,40.67,0.00928777195409832,0.747809699938556,0.55112571224685,-0.423676189516932,4.94173255041156,0.695223177287124,-0.0403380570674046
"sproat",617.294058809885,42.63,0.00946248108432672,0.747758448106277,0.55107234619298,-0.422479168269593,4.94733575099165,0.695155858131609,-0.0407619159781401
"sproat2",619.17273674926,44.51,0.00961814125532228,0.747589660151674,0.550952826772454,-0.421233054502183,4.94780193939951,0.69500508913383,-0.040553511854385
