"DateTime","Depth","WaterTempC","date","doy"
2022-01-12 10:50:00,0,3.87,2022-01-12,12
2022-01-19 10:16:00,0,4.81,2022-01-19,19
2022-01-26 10:35:00,0,4.27,2022-01-26,26
2022-02-02 10:34:00,0,4.14,2022-02-02,33
2022-02-11 10:28:00,0,4.96,2022-02-11,42
2022-02-16 09:40:00,0,4.92,2022-02-16,47
2022-03-02 09:02:00,0,4.44,2022-03-02,61
2022-03-11 10:00:00,0,5.34,2022-03-11,70
2022-03-18 10:15:00,0,6.09,2022-03-18,77
2022-04-22 09:41:00,0,12.5,2022-04-22,112
2022-04-29 09:40:00,0,13.1,2022-04-29,119
2022-05-11 10:37:00,0,10.52,2022-05-11,131
2022-05-20 10:16:00,0,10.53,2022-05-20,140
2022-06-22 10:32:00,0,15,2022-06-22,173
2022-06-29 10:17:00,0,15.08,2022-06-29,180
2022-07-06 10:21:00,0,16.58,2022-07-06,187
2022-07-15 09:44:00,0,18.77,2022-07-15,196
2022-07-22 10:10:00,0,18.28,2022-07-22,203
2022-07-27 09:24:00,0,21.32,2022-07-27,208
2022-08-03 09:59:00,0,18.83,2022-08-03,215
2022-08-12 09:25:00,0,19.49,2022-08-12,224
2022-08-17 09:34:00,0,21.03,2022-08-17,229
2022-08-31 09:28:00,0,21.01,2022-08-31,243
2022-09-07 10:14:00,0,19.46,2022-09-07,250
2022-09-14 09:54:00,0,18.45,2022-09-14,257
2022-09-23 10:04:00,0,17.02,2022-09-23,266
2022-09-28 09:59:00,0,17.75,2022-09-28,271
2022-10-07 10:03:00,0,16.56,2022-10-07,280
2022-10-12 10:13:00,0,14.95,2022-10-12,285
2022-10-21 10:10:00,0,14.66,2022-10-21,294
2022-10-26 10:20:00,0,12.28,2022-10-26,299
2022-11-09 09:59:00,0,9.43,2022-11-09,313
2022-11-18 10:25:00,0,7.58,2022-11-18,322
2022-11-23 10:12:00,0,8.44,2022-11-23,327
2022-12-09 10:36:00,0,5.74,2022-12-09,343
2022-12-16 09:28:00,0,5.38,2022-12-16,350
2022-12-28 10:20:00,0,4.97,2022-12-28,362
